CORSO DI STUDI,PAROLE CHIAVE - IT
MATERIALS ENGINEERING AND NANOTECHNOLOGY,volatile corrosion inhibitors; VCI; corrosion protection; steel; carboxylic acids; aminiacids; potentiodynamic; mass loss; polarization resistance
INGEGNERIA CIVILE,road winter maintenance; highway; chloride; salt storage
INGEGNERIA BIOMEDICA,dermatology; hand's dermatitis; mobile devices
INGEGNERIA CHIMICA,thermodynamic modeling; synthesis gas; cryogenic separation
INGEGNERIA BIOMEDICA,transfection; non viral vectors; microfluidic platform; single cell analysis; generator concentration gradients
INGEGNERIA SPAZIALE,"dynamic fracture toughness; loading rate effects; delamination modeling;
cohesive elements; analytical modeling"
INGEGNERIA ELETTRONICA,optics; device; interferometer; vibration measurement; selfmixing
INGEGNERIA ENERGETICA,model; consumption; primary energy; regression; goodness; validation
INGEGNERIA NUCLEARE,probabilistic seismic risk assessment (SPRA); mechanical stress and mechanical resistance; uncertainties; risk quantification; seismic random variables;  double distribution; seismic fragility; nuclear components
INGEGNERIA INFORMATICA,bioispired; cognitive; learning; motor system; sensory; ODIN
INGEGNERIA BIOMEDICA,imaging; photoacoustic microscopy; subcutaneous vasculature; pressure ring device; signal processing; image processing; pressure induced vasodilation
INGEGNERIA MECCANICA,robot; cleaning; electronic control; vacuum cleaner
INGEGNERIA ENERGETICA,HT-PEMFC; PBI; performances; anodic processes
INGEGNERIA NUCLEARE,SiPM; spectroscopy; probe; detector; gamma; suppression; anti-compton; Compton; scintillator; handheld; anticoincidence
INGEGNERIA DELL'AUTOMAZIONE,energy consumption; dÄ±screte event simulation; automata; discrete event system
INGEGNERIA DEI MATERIALI,LCA; X-LAM; CLT; wood; sustainability; building; thermal insulation; phono-insulation
INGEGNERIA DELLA PREVENZIONE E DELLA SICUREZZA NELL'INDUSTRIA DI PROCESSO,carboxymethylcellulose; NIR; calibration models; rheology
INGEGNERIA NUCLEARE,SMRs cost evalutaion; bottom-up approach
INGEGNERIA AERONAUTICA,helicopter; multi-objective optimization; genetic algorithm
INGEGNERIA ENERGETICA,Malawi; rural areas; solar kit
INGEGNERIA DELL'AUTOMAZIONE,series hybrid electric vehicle; hybrid autobus; heavy duty hybrid vehicle;auxiliary systems; energy management; energy flow; steering control with stateflow diagramm ; battery; energy flow model; energy control
INGEGNERIA ELETTRONICA,time to amplitude converter; TAC; time correlated single photon counting; TCSPC
INGEGNERIA CHIMICA,operator splitting; CFD multiregion approach; chemical reaction engineering; packed bed reactors
INGEGNERIA MECCANICA,AdBlue injection; evaporation model; openFoam
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,"sedimentary basins; inverse modeling; sandstones, shales; illite; smectite; global sensitivity analysis; Sobol indices; overpressures distribution"
INGEGNERIA INFORMATICA,block ciphers; side channel cryptoanalysis; applied cryptography; differential power analysis; LLVM; security oriented data flow analysis; embedded systems
INGEGNERIA SPAZIALE,"aluminum activation; thermites; aluminothermic reaction; ignition
temperature; aluminum morphology"
PRODUCT SERVICE SYSTEM DESIGN,food waste; food; food losses; hunger; gamification; food trends; smart appliances; waste
INGEGNERIA BIOMEDICA,amelogenin; MD; REMD; molecular dynamics; replica exchange; emd; enamel; enamel derivative proteins; structure prediction; afm; ftir; uv vis; cd; ph; temperature; proteins
ARCHITETTURA,Genova; Sampierdarena; station; sea port; AV
INGEGNERIA BIOMEDICA,angiogenesis; microparticles; angiogenesis assays
INGEGNERIA INFORMATICA,approccio; command; emg; prosthesis; arm; simulation; Kinect
INGEGNERIA CIVILE,BIM; Milan Cathedral; main spire; photogrammetry; laser; surveying; titanium
INGEGNERIA MECCANICA,ballistic impact; blunt projectile; composite; ceramic; KevlarÂ® 29; allumina; analytical model; numerical model; multilayers targets; LS-DynaÂ®
INGEGNERIA BIOMEDICA,tibial osteotomy; bone graft; experimental analysis on bone
INGEGNERIA BIOMEDICA,urodynamics; biomechanics; lower urinary tract
INGEGNERIA INFORMATICA,framework; adaptability; self awareness; reconfiguration; multiprocessor
INGEGNERIA AERONAUTICA,unmanned aerial vehicles; turboprop engine; recuperation; intercooling; turbine cooling; heat recovery
INGEGNERIA ENERGETICA,process heat; medium temperature; direct steam generation; concentrating solar; thermofluidodynamic model; linear concentrator
INGEGNERIA ELETTRONICA,analog-digital acquisition; 1553; telemetry
INGEGNERIA CIVILE,buckling; buckling moment
INGEGNERIA DEI MATERIALI,copper; electrodeposition; ionic liquid; TSV
INGEGNERIA BIOMEDICA,decellularization of the cardiac tissue; alginate hydrogel; hybrids scaffolds; mechanical tests; degradation tests; wharton's jelly cells; cell differentiation; electrical stimulation; mechanical stimulation
INGEGNERIA MATEMATICA,blood coagulation; thrombin generation; fluid dynamics; numerical analysis; COMSOL Multyphysics
INGEGNERIA FISICA,etching; light diffraction; nanofabrication; nanolithography; nanopatterning; photonic crystals; silicon; soft lithography; solar cells; photovoltaic cell
INGEGNERIA MECCANICA,adaptive control; real time identification od the modal parameters; smart structures
INGEGNERIA CIVILE,punching; shear strength; flat slabs; EC2; unbalanced moment; critical perimeter; ACI
INGEGNERIA CIVILE,connections; timber; angle brackets; screws; Johansen; cyclic load; CPR; CPD; ETAG
INGEGNERIA ENERGETICA,CFD; atmospheric boundary layer; RANS; Askervein hill; fluent
INGEGNERIA MECCANICA,laser texturing; wettability; contact angle; scratch; XRD; adhesion; hydrophilicity; hydrophobicity; polymer;stent; magnesium; AZ31
ARCHITETTURA,reform; Bovisa; Milan; planning; landscape; goccia; retraining; gasholders
INGEGNERIA CIVILE,wheel rail interaction; diagnostics; maintenance; rail grinding; rail surface defects; cost benefit analysis
INGEGNERIA AERONAUTICA,floquet; Coleman; stability; identification; PARMAX; turbulence
INGEGNERIA ENERGETICA,catalytic systems; abatement of CH4 emissions; emissions; geothermal processes; catalytic conversion
INGEGNERIA MECCANICA,spider web; spider silk; impact energy; nonlinear simulation; viscous instability
ARCHITETTURA,urban infrastructure; walls; recovery and reuse of decommissioned strategic areas
INGEGNERIA DEI SISTEMI EDILIZI,LEED; ecosustainability
PRODUCT SERVICE SYSTEM DESIGN,ebooks; reading; interaction; application; tablet; network; knowledge; service; library; Politecnico
INGEGNERIA CIVILE,subway; underground; Monza; new transport system
INGEGNERIA GESTIONALE,complex projects; decision making; performance measurement system
DESIGN DEL PRODOTTO PER L'INNOVAZIONE,superstition; magic
INGEGNERIA MECCANICA,fatigue; railway axles; fatigue tests
ARCHITETTURA,hierarchy; relationship between built-up and void; scale; composition; continuity; morphology; typology; context; infrastructure; urban node; requalification; temporary; permanent; culture; tabula rasa
INTERIOR DESIGN,museum; wizard of Oz; collection; flexibility
INGEGNERIA MECCANICA,Kalkerâ€™s model; creepages; contact forces; contact point; flange climb
INGEGNERIA SPAZIALE,solar cells; low intensity low temperature; characterization I-V curve; experimental device; Philae; Rosetta mission
INGEGNERIA ENERGETICA,test; applications
INGEGNERIA SPAZIALE,differential drag; rendez-vous; optimal control; indirect methods
INGEGNERIA DELL'AUTOMAZIONE,industrial robotics; manual guidance; simulation in Simulink environment
INGEGNERIA GESTIONALE,crowdfunding; entrepreneurial finance; incentives; motivation; price discrimination
ARCHITETTURA,Porta Ticinese; Roman amphitheater; archaeological museum
INGEGNERIA ELETTRONICA,emulator; gamma camera
DISEGNO INDUSTRIALE (INDUSTRIAL DESIGN),low cost; design; selfdesign; spontaneus creativity; crisis; abduction
INGEGNERIA MECCANICA,optimization; braking system; agricultural tractor
INGEGNERIA CIVILE,event; transportation management; Expo; incident management
INGEGNERIA ELETTRONICA,organic electronics; OFET; sintering; femtosecond laser; inkjet printing; direct writing
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,tower; hotel low cost; Cascina Merlata; Expo; flexibility
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,tower; blade; award-referentiality; Cascina Merlata; hotel; low cost; land mark; variables; invariables; unity; dualism; start up; business incubator
ARCHITETTURA,Bovisa; suburb; station; theater; Milan; Aldo Rossi's theory
INGEGNERIA MATEMATICA,spatial regression; spatial statistical; kriging
INGEGNERIA MECCANICA,antiroll bar; passive; deformable droplinks; performances
INGEGNERIA GESTIONALE,venture capital; replacement of the manager founders; VC-backed firms; high tech
ARCHITETTURA,railway station; Porta Romana; technology park; university residence; upgrading the industrial suburbs
DISEGNO INDUSTRIALE (INDUSTRIAL DESIGN),designer; designer to consumer; artisan; craftmanship; production chains; Feltre;  Belluno; manufacti
ARCHITETTURA,Bovisa; representation; Seagram building
INGEGNERIA ENERGETICA,Craig and Cox; turbine efficency; code;  steam turbine
INGEGNERIA BIOMEDICA,ASP; lasboratory analysis; analysis of health systems; health organization: management control
INGEGNERIA ENERGETICA,wave energy; electricity; renewable energy
DESIGN PER IL SISTEMA MODA,underwear; knowledge; handmade; luxury; seduction
INGEGNERIA GESTIONALE,hub; crossdock; transport optimization; sustainability; logistics
INGEGNERIA CIVILE,residual conditions tests; high temperature; diagnostics; ultrasonic waves
INGEGNERIA GESTIONALE,social network; social media; business model; publishing; broadcasting; digital; webtv; Ostewalder; Pigneur
INGEGNERIA NUCLEARE,computed tomography; CT; pediatric; doses; CTDI; normalization; conversion coefficients; phantom measurements
ARCHITETTURA,Mantua; Mantua territory; municipalities union; small territorial actions; urban voids
INGEGNERIA INFORMATICA,business process modeling; business process management and notation; BPMN; web ontology language; OWL
DESIGN DEGLI INTERNI (INTERIOR DESIGN),Italy; China; Beijing; design; experience
INGEGNERIA DELL'AUTOMAZIONE,robotics; rehabilitation; electromyography; stroke; hemiparesis
INTERIOR DESIGN,accumulation
DESIGN PER IL SISTEMA MODA,slow fashion; eco fashion; China
INGEGNERIA MECCANICA,model for the safety costs
INGEGNERIA AERONAUTICA,preliminary design; composite material; wing box; structural optimization; Optistruct
DESIGN DELLA COMUNICAZIONE,organization; visualisation; data; identity; university; history; anniversary; image; digital methods; taxonomy; interactivity
DESIGN DEL PRODOTTO PER L'INNOVAZIONE,imperfection; unpredictability; natural phenomena; wabi-sabi; sugar crystals; crystallization
DESIGN DEL PRODOTTO PER L'INNOVAZIONE,smart city; smart citizen; Google; social interaction; creative office; furniture; socialization; sharing; collaboration
INGEGNERIA GESTIONALE,production process
INTERIOR DESIGN,exhibition; Riva1920; rebirth; furniture
INGEGNERIA CIVILE,shear area; shape factor; plastic strain
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,LCA; food; beverage; impact; GHG; water; carbon footprint; water footprint
INGEGNERIA DEI SISTEMI EDILIZI,dissipation; rubberized concrete; granular cementitious composite
INGEGNERIA GESTIONALE,smart grid; business model; electric mobility; standard; intercommunication; sustainability
INGEGNERIA AERONAUTICA,safety barriers; certification by analysis; EN 1317; LS-Dyna
INGEGNERIA GESTIONALE,logistics; model; network; transport; scenario analysis; oxygen therapy; cost optimization
DESIGN PER IL SISTEMA MODA,Versace; maison; collection; advertisment; catalogues; runway; celebrities; top model; testimonial; brand's history; photographers; medusa; Versace in the world; sales revenue; incoming; models; history; Gianni Versace; Donatella Versace; Santo Versace
INGEGNERIA AERONAUTICA,process variability; blind rivet nut; CFRP; root cause analysis; DOE; ANOVA; progressive quality
INGEGNERIA GESTIONALE,mobile banking
ARCHITETTURA,ecomuseum; granite; fortifications; Cadorna line; museum; landscape; history; restoration; preservation; memory; landscape; lookout; Val'd'Ossola; Mont'Orfano; Mergozzo
INGEGNERIA CIVILE,seawater intrusion; hydraulic permeability; dispersion coefficients; global sensitivity analysis; polynomial chaos expansion; Sobol's indices; joint and conditional probability distributions; inverse modelling
ARCHITETTURA,theatre; Bovisa; sociality; industrial area; renovation; public space
INGEGNERIA NUCLEARE,smart component; dynamic modeling; knowledge base; EPR; LOOP
INGEGNERIA BIOMEDICA,analysis; predictive; hemodialysis; solutes; volumes
INGEGNERIA GESTIONALE,mobile payment; market analysis; market outlook; business ecosystem; Gartner hype cycle; time series predictive model; Deutsche Bank; SWOT analysis
ARCHITETTURA,disused infrastructures; urban reconstruction; territorial reuse
INGEGNERIA AERONAUTICA,flutter; multi-surface control; scheduling
ARCHITETTURA,Lucera; school; urban limit
INGEGNERIA GESTIONALE,pallet; EPAL; pallet exchange; pallet interchange; Euro pallet; interchange receipt; Number1 Logistics Group
PRODUCT SERVICE SYSTEM DESIGN,abandoned buildings; reuse; service; local community; art; charrette
DESIGN DELLA COMUNICAZIONE (COMMUNICATION DESIGN),tv news; news; television; tv; info; star wars; star news; politics; policy
INGEGNERIA INFORMATICA,software engineering; automatic debugging
DESIGN & ENGINEERING,automatic transmission; CVT; bicycle; belt drive
INGEGNERIA CIVILE,Midas GTS; tunnel 3D modelling; Brennero
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,dynamic emulation modelling; model complexity; artificial neural network
ARCHITETTURA,Palazzo San Giacomo; restauration; archeology; Russi; Rasponi; material analysis; history of architecture; Romagna; Barocco
DESIGN DELLA COMUNICAZIONE,interaction; app; tradeshow; b2b
INGEGNERIA GESTIONALE,HR transformation; ICT; human resources; leader of transformation
INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,MBR; membrane; bioreactors
INGEGNERIA ELETTRONICA,gamma rays; positions of interaction;  inside of scintillator crystal; depth of interaction; photodetector matrix; SDD
GESTIONE DEL COSTRUITO,Condominium; Management; Maintenance
ARCHITETTURA,yard of Porta Romana; green bastion; to make urbanity; park
INGEGNERIA DELLE TELECOMUNICAZIONI,phase noise; dirty RF; compressed sensing
INGEGNERIA ELETTRONICA,application of neural networks
PRODUCT SERVICE SYSTEM DESIGN,services; model laboratory; experimenting
INGEGNERIA GESTIONALE,maintenance service; outsourcing; PSS
DISEGNO INDUSTRIALE (INDUSTRIAL DESIGN),supermarket; Esselunga; anthropology of consumption; sharing economy; neighborhood event
DESIGN DELLA COMUNICAZIONE (COMMUNICATION DESIGN),cartography of controversies; information design; infographics; research process; designer role
PRODUCT SERVICE SYSTEM DESIGN,collaborative consumption; nudging behavior; social networks; real food; design harvest
PRODUCT SERVICE SYSTEM DESIGN,toolkit; meta project; lateral thinking; system design; progress; innovation
INTERIOR DESIGN,landscape; revitalization; water; riverfront; waterfront
ARCHITETTURA,fascism; engineer; law 1150; planning legislation; urban history
INGEGNERIA MECCANICA,exoskeleton; robot assisted rehabilitation
INGEGNERIA INFORMATICA,autism; Kinect; human computer interaction; embodied cognition; motion based; touchless
ARCHITETTURA,layer; line; limit; void; melancholic; theatre
ARCHITETTURA,Bovisa; drop; disused area; preexistences; refoundation; recovery; urban relations; sociality; metropolis; urban quality;  synergies
ARCHITETTURA,EXPO; Shanghai; legacy; post utilization; evaluation
ARCHITETTURA,interior design; hospice; palliative care
ARCHITETTURA,park; sport; stadium; urban rigeneration; sport centre
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,tower; hotel; Milan
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,Cascina Merlata; tower; hotel; low cost
ARCHITETTURA,Turin; green; Mirafiori; urban agriculture; community; sustainable
ARCHITETTURA,modular; temporary housing; prefabrication
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,tower; core; main street; landmark; Milan; Expo 2015
ARCHITETTURA,villas; slum; urban; Argentina; right; city; settlement; informal
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,mining; environment; conflicts; planning; community
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,Cascina Merlata; Milan; Expo; high rise building; low cost hotel
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,tower; hotel; hostel; Cascina Merlata; Milan; basement
ARCHITETTURA,cemetery; wood; heritage; museum; microjardin
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,asylum seekers; refugees; right to the city; informal welfare
ARCHITETTURA,Pavia; Piazza d'Armi; mura; Naviglio Pavese; Borgo Calvenzano; defensive walls; canal
ARCHITETTURA,modular; temporary; Expo; steel; pavilion
ARCHITETTURA,Valtellina; construction system
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,energy planning; urban planning; integration; model; local level; international level
ARCHITETTURA,flexibility; sustainability; port transformation
ARCHITETTURA,Santa Maria di Brera; church; Milan; gothic; pinacoteca; accademia; Brera; neoclassic; restoration; reuse; exhibition space; canvas storage; conservation; architecture of the religious orders; Humiliati; Giovanni di Balduccio; Giusto de' Menabuoi; Richino; Gilardoni; Piermarini; Caimi; Pestagalli; Voghera; Pirola
ARCHITETTURA,steel; tower; skyscrapers
ARCHITETTURA,arsenale; Venezia; bridge
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,redevelopment area; Porta Genova; Milan
ARCHITETTURA,Naviglio Grande; Olona; San Cristoforo; thermal building in Milan
ARCHITETTURA,historical city center; public space;regeneration; middle sized city to be; Piacenza; Songjiang; China; Italy; comparison
ARCHITETTURA,Milan; Porta Venezia; Redefossi; spa
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,redevelopment; Porta Genova area; Milan
ARCHITETTURA,cogeneration; chp; microchp
ARCHITETTURA,Olona; San Cristoforo; Naviglio Grande
ARCHITETTURA,Milan; Porta Romana; landscape; boulevard; park; theatre; student housing; suburb
ARCHITETTURA,Fuzhou; Cangshan historic quarter; colonial veranda style; urban conservation; revitalization
ARCHITETTURA,reuse; flexibility; gentrification; unfinished tower
ARCHITETTURA,Martesana; Cascina dei Pomm; Central station
ARCHITETTURA,decorative concrete; interior design; exhibition pavilion; light transmitting concrete; thermochromic concrete
ARCHITETTURA,industrial area; renovation; multifunctional complex; museum; Milan; historical and new
ARCHITETTURA,museum in Berlin; Luisenstrasse; private collection; Berlin urban analysis; topographic form; composit form
ARCHITETTURA,landscape; public space; park; railway; Porta Romana; sustainability; Milan
ARCHITETTURA,networks; mine; industry
ARCHITETTURA,mega-structure; vertical city; urban design; Hong Kong
ARCHITETTURA,London; Lea Valley; urban regeneration; regeneration landscape
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,urban planning; environmental planning; ecology; ecological compensation; environmental compensation; ecological network; land take; biodiversity; Novara
ARCHITETTURA,Olona; river; Naviglio Grande; thermal baths; San Cristoforo; museum; archive
ARCHITETTURA,vertical development; sustainability; lungs; communication; public space
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,sustainability; smart city; Quarto Oggiaro; renewable; community; energy; environment; social inclusion; smart grid
ARCHITETTURA,social housing; community centre
ARCHITETTURA,Mantova; Borgo San Giorgio; baths
ARCHITETTURA,project; museum; Berlin; collection; art; architecture; twentieth century
ARCHITETTURA,theatre; topoghaphy; heterotopia; transparency; transparent; piano; nono; Gropius; bene; Artaud; Rowe; utopia; windmill; quarry; stone; wind; Ito; phenomenological; litheral; Prometeo
ARCHITETTURA,Pnyx; Athens
ARCHITETTURA,Bovisa; remediation; park; comparison regulation
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,reconversion; requalification; housing; Bergamo; hospital; Ospedali Riuniti; library; music; park
ARCHITETTURA,renewal; ancient village; architectural heritage; analysis; design strategies
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,tower; landmark; Cascina Merlata; Expo; hotel; curtain wall
ARCHITETTURA,Redefossi; Milano; Central Station
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,EU; urban systems; regional disparities
ARCHITETTURA,decommissioning; lunapark; reuse; oil platform
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,tower; hostel; hotel; office
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,redevelopment; reconversion; Ospedali Riuniti di Bergamo; hospital; project; covered market; spin off; conservation; restoration; masterplan
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,ground project; enclosures; public space; urban bricolage; contemporary living; temporary houses; tower; walking tour
ARCHITETTURA,thermae; Porta Venezia; Redefossi; public garden; bastions
ARCHITETTURA,masterplan Bovisa; accessibility; urban plan; estimate; scientific park
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,tower; high rise building; urban transformation; verticality; hotel; low cost hotel; temporary habitat; temporary hospitality; border membrane; boundaries wall; strategies against enclaves; bigness; skyscraper; construction; Cascina Merlata; Expo 2015; multi-scale approach
ARCHITETTURA,oceanographic vessel; oceanography; scientific research
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,urban ventilation; wind flow; heat island; compact city dilema; densification; wind simulation; computational fluid dynamic; CFD; urban morphology
ARCHITETTURA,green city; Hakka heritage; Pearl River Delta; Huiyang; Huizhou; hospital; industry; school
ARCHITETTURA,Athens; Pnyx; museum; archaeology; project
ARCHITETTURA,Lijiang; real property; market signal; world heritage site
ARCHITETTURA,social housing; urban orchard; public space
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,San Cristoforo
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,Rozzol Melara; Trieste; retrain
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,Ospedali Riuniti di Bergamo; conversion; renovation; hypogeal; auditorium; headquarter; meeting; place; acoustics; foyer; Bergamo; spin-off; start-up; campus
ARCHITETTURA,Mantova; San Giorgio; baths; swimming pool; spa
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,action planning; strategic planning; public interest; urban railways stations; urban transformation processes; urban management; Varese; Lugano
ARCHITETTURA,landscape; agricolture; tourism; Tidone valley; energy; population; project
ARCHITETTURA,energency; textile; transitional shelter; packaging
ARCHITETTURA,to collect; private; public; museum; Scarabeo; Casabianca
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,hybrid bulding; masterplan
ARCHITETTURA,Hangzhou; landscape; archeology; square
ARCHITETTURA,transport; highway
ARCHITETTURA,Siracusa; archeology; paths; museum
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,urban renovation; Rozzol Melara; plug in; renovation
ARCHITETTURA,megaform; Paris; university campus
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,Apea; eco industrial parks
ARCHITETTURA,custom; border; Lombardy; Switzerland
ARCHITETTURA,shrinking city; social housing; student house
ARCHITETTURA,reuse; memory; landscape; convent; Oporto; Portugal; Monchique; university; Douro; history; nature
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,historic city; water; regeneration; metropolisation
ARCHITETTURA,Pesaro; harbour; port; requalification; music; concert hall; waterfront
ARCHITETTURA,architecture; urbanism; things
ARCHITETTURA,campus; Condorcet; renovation; university; college; Aubervilliers; Paris; public; space
ARCHITETTURA,Aubervilliers; relations; sequences; universitary campus; connections; urban regeneration
ARCHITETTURA,housing; Sao Paulo; city center
ARCHITETTURA,sustainable mobility; bicycle; biycle mobility; bike sharing
ARCHITETTURA,figure; shape; void; sequence; border; limit; interval; heart; motor; scene; wing; structure; horizon
ARCHITETTURA,diaphgram; boundary; limit; matrix; proportion; university
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,landmark; tower; hotel; residence; mixitÃ¨; flexibility; temporary living
ARCHITETTURA,waterfront regeneration; MalmÃ¶; Marseile; international events; Italian waterfronts
ARCHITETTURA,Spinea; public space
ARCHITETTURA,WBS; work breakdown structure; BIM; building information model; revit; management; teatro lirico; redevelopment; executive project; tender; eestoration; bill of quantities; shared parameters
ARCHITETTURA,WBS; work breakdown structure; BIM; building information model; Revit; management; Teatro Lirico; redevelopment; executive project; tender; restoration; bill of quantities; shared parameters
ARCHITETTURA,Greenland; adaptive system; adaptive programming; metropolis; technology; future; scenario; energetic autonomy; transformative urbanization; floating; offshore
ARCHITETTURA,landscape; Siracusa; walls; pathways; agricolture; archeology; railway
ARCHITETTURA,Belgrade; museum
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,brownfield; urban void; reuse
ARCHITETTURA,public spaces and public realm quality; micropolitan system; connectivity and public transportation; cycling routes and complete streets
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,public space; rationalism; constructivism; democracy; participatory approach; decision making process; human scale; urban design
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,mobile phone data; Erlang; mobility practices; mobility
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,low cost; high; skyscraper
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,paper mill Vita Mayer; Olona valley; industrial archeology; conservation and reuse project
ARCHITETTURA,Bovisa; multicultural centre; foreigner; museum
ARCHITETTURA,curiglia; mulini di Piero; prison
ARCHITETTURA,inhabited bridge; tower; ecological corridor; Pedemontana; public spaces
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,Compasso d'Oro; Enel; Porta Volta; Milan; redevelopment; museum; exhibition
ARCHITETTURA,cabinets of wonder; cabinets of curiosities; Milan; museum
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,grey belt; redevelopment; industrial areas; interaction
ARCHITETTURA,environmental sustainability; social sustainability; Sweden; Stockholm; Hammarby SjÃ¶stad; suburbs; urban culture; Hammarby Model; neighborhood
ARCHITETTURA,inventive process; inventor; research; Peter Schlimbohm; cement; cast
ARCHITETTURA,Roosevelt Island; New York; museum; multifunction spaces
ARCHITETTURA,extension; design; school
ARCHITETTURA,recovery; cohousing; existing strategies renovation; flour mill; Fino Mornasco
ARCHITETTURA,Johann Bernhard Fischer von Erlach; mass events
ARCHITETTURA,museography; musealization; archeological area; Villa Adriana; Largo di Torre Argentina; exposition; public spaces
ARCHITETTURA,refurbish; outsider art
ARCHITETTURA,pneumatic architecture; vacuumatics; vacuum architecture; emergency architecture
ARCHITETTURA,ethnography museum; Oslo; multicultural; migrations; XXI century museum
ARCHITETTURA,archeology; architecture; museum; landscape; via Francigena; pilgrims
ARCHITETTURA,railway; Aldo Rossi; San Cristoforo; boundary; border
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,periurban area; periphey; edge of the city; green infrastructure; urban agriculture
ARCHITETTURA,edge; porosity; interstitially; green infrastructure; agri-garden; hybridity
ARCHITETTURA,nature; artifice; time; container; Finland; Lahti
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,nursery; pit; city; park; infrastructure; facility
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,hotel; Expo; tower; low cost
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,low cost; landscape; landmark; link; high rise; change; zip
ARCHITETTURA,building over time; urban space; scale; sequence; matrix and variations
ARCHITETTURA,ched; colonnade; fence; hortus conclusus; Nordhafen; Hamburger bahnhof; museum; contemporary art; park; Berlin; hypogeal; order; module
ARCHITETTURA,museum; contemporary art; Berlin
ARCHITETTURA - ARCHITETTURA DELLE COSTRUZIONI,straw tower
ARCHITETTURA,city planning; planned community; Wolfsburg
ARCHITETTURA,waterfront; redevelopment; abandoned threshold; connecting; dividing; rethinking spaces; port
ARCHITETTURA,regeneration; promotion of rural areas and cultural heritage; sustainability
ARCHITETTURA,landscape; territory; development
ARCHITETTURA,public squares; public spaces; multipurpose civic centers; urban development plans; neighborhood; adaptive reuse of industrial sites: landscape; territorial planning; feasibility studies; multipurpose cultural centers; sports centers; exhibitions; installations; urban renewal; recreation centers; bridges and walkways; cycle paths; strategic urban plans; San Michele; Verona; neighborhood green network; Adige river park
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,public policies; city planning; ethnic concentration; integration; segregation
ARCHITETTURA,urban; void; regenerating; axiality; Tehran metropolitan area; post military airport
ARCHITETTURA,Berlin; sitte; spree; museumsinsel
ARCHITETTURA,weak; pattern; ecology
ARCHITETTURA,center; cultural; islamic; Expo 2015; Milan; Cascina Merlata; Cimitero Maggiore; carcere; axis North-West
ARCHITETTURA,shrinkage; shrinking city; degrowth; downshifting; urban decline; microscale; Genoa; ageing; networking; demographic change
ARCHITETTURA,Martesana canal; Milan
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,periurban landscape; agricultural park; multifuncionality; Bologna
PIANIFICAZIONE URBANA E POLITICHE TERRITORIALI,mosque; urban conflict
